dataset	turn_id	response_type	base_model	tuning	user_experience	user_direction	user_response	not_generic	valid	related	informative	naive	savvy	reasons	informative	comment
nudged-questions	nudged-questions--0x49cef2313330e289	generated	alpaca-7b	treccast	none	none	What are some other options?	0	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	naive	implications	What is the significance of the size of a pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	naive	reasons	How does the convenience of a pizza stone make a difference when comparing them?	1	1	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	none	none	How does the type of material affect the heat retention and distribution of the pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	none	none	How does the type of material affect the heat retention and distribution of the pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	none	none	How does the type of material affect the heat retention and distribution of the pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	savvy	implications	Between cordierite and ceramic, which material is generally regarded as superior for pizza stones and why?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	gpt-4	none	savvy	reasons	Does the material of a pizza stone affect its performance and durability?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	inquisitive	naive	implications	What are the benefits of a steel pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	inquisitive	naive	reasons	What is a pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	inquisitive	none	none	What are the advantages of steel over other materials?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	inquisitive	savvy	implications	What is the size of the pizza stone?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	What is a pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	none	naive	implications	Can I use a pizza stone in the oven?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	none	naive	reasons	Is the NerdChef Baking Steel dishwasher safe?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	none	none	none	Why?	0	0	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	none	savvy	implications	What are some of the drawbacks of using a pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	none	savvy	reasons	What is the range of use for a pizza stone?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	nudged-questions	none	none	What is the size of the NerdChef Baking Steel?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-13b-hf	treccast	none	none	How?	0	0	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-7b-hf	inquisitive	none	none	is that a common material?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-7b-hf	none	none	none	What are the disadvantages of using a pizza stone made of ceramic?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-7b-hf	nudged-questions	none	none	What is the best pizza stone for home use?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	generated	Llama-2-7b-hf	treccast	none	none	What’s the least durable?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x49cef2313330e289	original	none	none	none	none	Which pizza stone is most stronger than other one?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	inquisitive	none	none	How does it improve social justice?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	none	naive	implications	How does the UBI eliminate the need to work just to survive?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	none	naive	reasons	How exactly does the UBI provide everyone with the opportunity for social advancement?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	none	none	none	Follow-up questions: How does the UBI promote social justice?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	none	savvy	implications	What are some potential drawbacks to a universal basic income?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	none	savvy	reasons	How is privilege within society impacted by the UBI?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	nudged-questions	none	none	In what form does the universal basic income take?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	alpaca-7b	treccast	none	none	So what problems do you think it causes?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	naive	implications	If so, what has the impact been?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	naive	reasons	In what ways does universal basic income improve the distribution of wealth, opportunity, and privilege?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	none	none	What is the universal basic income (UBI)?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	none	none	What is the universal basic income (UBI)?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	none	none	What is the universal basic income (UBI)?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	savvy	implications	Have there been any case studies or pilots of UBI that support these claims?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	gpt-4	none	savvy	reasons	How does a universal basic income eliminate the need to work just to survive?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	inquisitive	naive	implications	How does the UBI eliminate the need to work?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	inquisitive	naive	reasons	What is the UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	inquisitive	none	none	How does the universal basic income provide everyone with the opportunity for social advancement?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	inquisitive	savvy	implications	Why does the UBI eliminate the need to work just to survive?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	How does the UBI eliminate the need to work just to survive?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	none	naive	implications	What is the purpose of a UBI?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	none	naive	reasons	Why do supporters of the UBI claim that it promotes social justice?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	none	none	none	What are the benefits of the universal basic income?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	none	savvy	implications	What does the phrase "in their view" mean?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	none	savvy	reasons	What does the UBI eliminate?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	nudged-questions	none	none	What is the universal basic income?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-13b-hf	treccast	none	none	What would happen to the current welfare system?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-7b-hf	inquisitive	none	none	What are the social advancement opportunities?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-7b-hf	none	none	none	Why would a universal basic income promote social justice?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-7b-hf	nudged-questions	none	none	What are the arguments for the universal basic income?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	generated	Llama-2-7b-hf	treccast	none	none	What would be the negative consequences?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4ad20fc566a8a9a0	original	none	none	none	none	How does the Universal Basic Income improve equal distribution of wealth in the society?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	inquisitive	none	none	How did they order it?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	none	naive	implications	What materials were used to make the cuboid?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	none	naive	reasons	Follow-up questions: What was the purpose of the cuboid?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	none	none	none	What kind of work was done outside the cuboid?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	none	savvy	implications	Who was the creator of the carpet and the upper light structure?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	none	savvy	reasons	What type of work was done outside of the cuboid?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	nudged-questions	none	none	Why do you need a cuboid for meetings?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	alpaca-7b	treccast	none	none	What happened to this structure?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	naive	implications	Who is Benita Otte and what's her relation to Gropius?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	naive	reasons	Can you provide specific reasons?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	none	none	Was the carpet specifically designed for this space?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	none	none	Was the carpet specifically designed for this space?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	none	none	Was the carpet specifically designed for this space?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	savvy	implications	What specific characteristics does the upper light structure bring to the overall ambiance of the space?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	gpt-4	none	savvy	reasons	How was the cuboid used during meetings?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	inquisitive	naive	implications	How was this cuboid imaginary?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	inquisitive	naive	reasons	What is a cuboid?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	inquisitive	none	none	What kind of meetings were held?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	inquisitive	savvy	implications	What kind of meetings?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	What is a cuboid?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	none	naive	implications	What is the purpose of the space outside?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	none	naive	reasons	What is the cuboid used for?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	none	none	none	What is the purpose of the light structure?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	none	savvy	implications	What is the purpose of the space outside?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	none	savvy	reasons	Why was it made?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	nudged-questions	none	none	What kind of meetings were held in the room?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-13b-hf	treccast	none	none	Did it have any influences?	1	1	0	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-7b-hf	inquisitive	none	none	How many people could fit in the cuboid?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-7b-hf	none	none	none	What is the space outside used for?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-7b-hf	nudged-questions	none	none	What is the purpose of the cuboid?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	generated	Llama-2-7b-hf	treccast	none	none	What did they use the space for?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4b5a27aaa9ba6e26	original	none	none	none	none	what will the square carpet do?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	inquisitive	none	none	What is the difference between a bagless model and one that is cordless?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	none	naive	implications	What are the advantages and disadvantages of each vacuum?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	none	naive	reasons	What is the approximate cost range of the Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	none	none	none	What are the advantages of the Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	none	savvy	implications	Follow-up questions: What is the difference in the suction power?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	none	savvy	reasons	Follow-up questions: How powerful is the Shark Navigator Lift-Away compared to the Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	nudged-questions	none	none	What are the advantages of the bagless models?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	alpaca-7b	treccast	none	none	Do you have a favorite?	0	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	naive	implications	How does the weight of a vacuum affect its performance?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	naive	reasons	How does the suction power differ between the Shark Navigator Lift-Away and the Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	none	none	Why does the Kenmore Elite weigh nearly twice as much as the Shark Navigator Lift-Away?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	none	none	Why does the Kenmore Elite weigh nearly twice as much as the Shark Navigator Lift-Away?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	none	none	Why does the Kenmore Elite weigh nearly twice as much as the Shark Navigator Lift-Away?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	savvy	implications	How do the prices compare between the two models?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	gpt-4	none	savvy	reasons	Is the decision between a lighter and heavier vacuum mainly based on personal preference or are there some universal advantages to one over the other?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	inquisitive	naive	implications	Why is the Kenmore Elite so much heavier?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	inquisitive	naive	reasons	How much does the Kenmore Elite  cost?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	inquisitive	none	none	How much more expensive is the Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	inquisitive	savvy	implications	What are the pros and cons of a bagless vacuum?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	What are the other differences between the two models?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	none	naive	implications	What are the advantages of the Shark Navigator Lift-Away?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	none	naive	reasons	What are the reasons of the differences in suction power?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	none	none	none	What are some things to consider when buying a vacuum?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	none	savvy	implications	How much does the Kenmore Elite cost?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	none	savvy	reasons	In the text above, you might ask a question like, “What is the difference between bagless and cordless vacuums?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	nudged-questions	none	none	How much is the Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-13b-hf	treccast	none	none	What's the next one you'd consider?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-7b-hf	inquisitive	none	none	How do you measure suction power?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-7b-hf	none	none	none	Are these vacuum cleaners bagless or cordless?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-7b-hf	nudged-questions	none	none	What are the different models of Kenmore Elite?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	generated	Llama-2-7b-hf	treccast	none	none	Which one is easier to use?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x4c979fe0c146380c	original	none	none	none	none	Which vacuum cleaner will be long last?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	inquisitive	none	none	How does this relate to eliminating the need to work?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	none	naive	implications	How did the trial in India in 2014 impact child rights?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	none	naive	reasons	What specific positive effects were reported as a result of eliminating the need to work?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	none	none	none	Are there any potential drawbacks of implementing the UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	none	savvy	implications	What challenges have been experienced in implementing UBI programs?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	none	savvy	reasons	What other positive effects have been noted in other UBI  trials?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	nudged-questions	none	none	How did UBI impact other aspects of the lives of these women?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	alpaca-7b	treccast	none	none	Can you explain more how people have benefited?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	naive	implications	Are there plans for other UBI trials in different countries?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	naive	reasons	What were UNICEF's roles or contributions in the UBI trial in India in 2014?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	none	none	Did the trial also record any negative impacts of implementing UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	none	none	Did the trial also record any negative impacts of implementing UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	none	none	Did the trial also record any negative impacts of implementing UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	savvy	implications	Were there any impacts of UBI on men and other family members?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	gpt-4	none	savvy	reasons	What changes were observed in women's access to food, health care, and education?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	inquisitive	naive	implications	How did the women participate more?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	inquisitive	naive	reasons	What is the UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	inquisitive	none	none	Why is there a need to work?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	inquisitive	savvy	implications	Why was the UBI  trial in India?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	How does the UBI  trial in India impact women's empowerment?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	none	naive	implications	What are the implications of the UBI  trial in India in 2014?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	none	naive	reasons	What was the impact on women?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	none	none	none	What did women participate more in?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	none	savvy	implications	What are the positive effects of eliminating the need to work?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	none	savvy	reasons	Why do you think women's participation in household decision-making improved?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	nudged-questions	none	none	What are the positive effects of the UBI?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-13b-hf	treccast	none	none	What would it take to implement this?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-7b-hf	inquisitive	none	none	How was this measured?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-7b-hf	none	none	none	What are the positive impacts on women's empowerment?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-7b-hf	nudged-questions	none	none	How much money is the UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	generated	Llama-2-7b-hf	treccast	none	none	How would you implement it?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x5087186f9ddbf34b	original	none	none	none	none	Does UBI concepts on women empowerment include domestic collaboration?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	inquisitive	none	none	how would they do this?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	none	naive	implications	How can people who become unemployed retrain efficiently with a UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	none	naive	reasons	What advances in technology are likely to lead to disruptions in the labor market?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	none	none	none	What types of skills do people need to develop to take advantage of the technological advances in the workplace?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	none	savvy	implications	How might people retrain efficiently with a UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	none	savvy	reasons	What are the potential drawbacks of a UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	nudged-questions	none	none	what would the money be used for if people are not working?	1	0	1	0	0	0	0	0	asks for something beyond text
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	alpaca-7b	treccast	none	none	what are those disadvantages?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	gpt-4	none	naive	implications	How does UBI make retraining for unemployed individuals more efficient?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	gpt-4	none	naive	reasons	How does UBI aim to fix people's financial worries?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	gpt-4	none	none	none	How does UBI aim to fix financial worries?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	gpt-4	none	none	none	How does UBI aim to fix financial worries?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x52a1b1b52c4c8016	generated	gpt-4	none	none	none	How does UBI aim to fix financial worries?	1	1	1	1	0	0	0	1	
